"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United Kingdom","Bishop's Waltham Solar Farm",12,50.9443,-1.2081,"Solar"
"United Kingdom","Bishops Sutton",12,51.0827,-1.1511,"Solar"
"United Kingdom","Blaby Solar Farm",3.5,52.5654,-1.13,"Solar"
"United Kingdom","Black Bush Farm",2.7,52.5497,-0.1479,"Solar"
"United Kingdom","Black Peak Farm",31.8,52.0782,0.0489,"Solar"
"United Kingdom","Blackawton Solar Farm",3,50.3641,-3.6421,"Solar"
"United Kingdom","Blackwell Grange Solar Farm",5,52.0879,-1.6673,"Solar"
"United Kingdom","Blakenhall Park Solar Farm",1.8,52.7604,-1.7443,"Solar"
"United Kingdom","Blatchworthy",1.41246,51.1461,-4.1377,"Solar"
"United Kingdom","Blenches Mill Solar Park",6.0788,51.2746,-2.1899,"Solar"
"United Kingdom","Blue House",4.98,54.6326,-1.2684,"Solar"
"United Kingdom","Bluegates Solar Park",10.5,51.8607,1.005,"Solar"
"United Kingdom","Bobbing solar farm",11.3,51.3581,0.6889,"Solar"
"United Kingdom","Bodmin",4.97684,50.4835,-4.7335,"Solar"
"United Kingdom","Bodorgan Solar Farm",12.6,53.1787,-4.4148,"Solar"
"United Kingdom","Bodwen Solar Park",5.5,50.4115,-4.7786,"Solar"
"United Kingdom","Bolsovermoor Quarry",4.9979,53.2398,-1.2544,"Solar"
"United Kingdom","Bombardier Factory",3.8,54.6688,-5.9426,"Solar"
"United Kingdom","Bommertown Solar Farm",5,51.0189,-3.6846,"Solar"
"United Kingdom","Boscombe Airfield",12.3,51.1514,-1.7379,"Solar"
"United Kingdom","Bottom Plain",10,50.7127,-2.1654,"Solar"
"United Kingdom","Bourne Farm",2.4,50.7756,-2.3952,"Solar"
"United Kingdom","Bourne Park (Solar)",5,50.7779,-2.3943,"Solar"
"United Kingdom","Bowden Lane Solar Park",4.9896,50.9818,-2.4287,"Solar"
"United Kingdom","Bowerhouse Farm",8.3,51.345,-2.8611,"Solar"
"United Kingdom","Boxted Airfield",18.8,51.9431,0.9296,"Solar"
"United Kingdom","Bradford Solar Park",5.3,50.7807,-4.4415,"Solar"
"United Kingdom","Bransholme Solar CIC",5,53.8085,-0.3158,"Solar"
"United Kingdom","Branston solar park",18.9,53.1813,-0.4736,"Solar"
"United Kingdom","Bratton Fleming Solar Farm",5,51.1252,-3.9249,"Solar"
"United Kingdom","Braydon Manor Farm",8.7,51.5885,-1.9362,"Solar"
"United Kingdom","Briar Solar Farm",1.9,52.6452,1.2582,"Solar"
"United Kingdom","Brickyard Barn (resubmission)",4.1,52.2506,-1.5558,"Solar"
"United Kingdom","Broadgate Solar Farm",1.1,50.8523,-3.7396,"Solar"
"United Kingdom","Bronwylfa Reservoir",3,53.0318,-3.0594,"Solar"
"United Kingdom","Brook Farm",8.91036,51.8539,-1.1318,"Solar"
"United Kingdom","Brook Hall Farm (resubmission)",4.7,51.2802,-2.214,"Solar"
"United Kingdom","Brookbarn",3.63,50.8196,-0.5449,"Solar"
"United Kingdom","Broxted Solar Park",31.59,52.1314,0.5172,"Solar"
"United Kingdom","Bryn yr Odyn Solar Farm",15,53.2333,-4.4047,"Solar"
"United Kingdom","Brynteg",14.78664,51.7128,-4.1781,"Solar"
"United Kingdom","Brynwhilach solar park",5,51.6866,-3.9582,"Solar"
"United Kingdom","Bulls Head North",5.51304,52.1542,-0.8107,"Solar"
"United Kingdom","Bumpers Farm Phase 1",5,51.7483,-0.8963,"Solar"
"United Kingdom","Bunn's Hill Solar Park",5,52.7984,1.3979,"Solar"
"United Kingdom","Burntstalk Solar Park",11.5,52.6732,0.6271,"Solar"
"United Kingdom","Burrowton Farm",5,50.7613,-3.4208,"Solar"
"United Kingdom","Burthy",13.08042,50.3609,-4.9461,"Solar"
"United Kingdom","Burton Farm",4.4,52.2135,-1.7372,"Solar"
"United Kingdom","Burton Pedwardine",8.99162,52.9722,-0.3555,"Solar"
"United Kingdom","Bury Green Farm Solar",5,52.4514,-0.137,"Solar"
"United Kingdom","Bury Lane",22.21587,52.0796,0.002,"Solar"
"United Kingdom","Bypass Nurseries Solar Farm",3.3,52.1024,-1.9201,"Solar"
"United Kingdom","Bystock Solar Farm",4.1,50.6473,-3.3825,"Solar"
"United Kingdom","CRAYSMARSH SOLAR FARM",1.8,51.3626,-2.0947,"Solar"
"United Kingdom","CRINACOTT SOLAR FARM (Pyworthy)",6.7,50.7904,-4.4014,"Solar"
"United Kingdom","Caddington Solar Farm (Phase 1)",3,51.86,-0.4633,"Solar"
"United Kingdom","Caddington Solar Farm (Phase 2)",5,51.8564,-0.4686,"Solar"
"United Kingdom","Cadland 2",3.01602,50.8095,-1.3599,"Solar"
"United Kingdom","Caeremlyn Solar Farm",18,51.8279,-4.6334,"Solar"
"United Kingdom","Caergarw Farm",3.8,51.5401,-3.6997,"Solar"
"United Kingdom","Cairnhill Farm solar park",2.4,57.5603,-2.3723,"Solar"
