Data_Status,State,MSN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020,US,ELEXP,15049,11996,11373,13298,9118,6214,9371,13804,20008,14135
2020,US,ELIMB,178447,202185,236278,226933,257928,248108,224117,198785,201487,209664
2020,US,ELIMP,52300,59257,69249,66510,75594,72716,65685,58261,59052,61449
2020,US,ELNIB,127101,161256,197472,181559,226819,226906,192144,151684,133220,161436
2020,US,ELNIP,37251,47261,57876,53212,66477,66502,56314,44456,39044,47314
2020,US,EMACB,1045041,1044666,1071703,1093418,1109733,1143028,1155526,1152372,1161542,1004223
2020,US,EMCCB,2863,2552,2639,3706,25701,25772,25129,25495,25962,26261
2020,US,EMICB,16731,16629,17483,14164,17621,18081,18471,18765,18775,19045
2020,US,EMLCB,753993,709127,711235,764221,788345,818059,844342,851961,831945,731951
2020,US,EMTCB,1064634,1063847,1091826,1111288,1153054,1186881,1199125,1196632,1206278,1049528
2020,US,ENACP,301334,301181,308859,314948,319588,329188,332342,330643,333619,288892
2020,US,ENCCP,826,736,761,1068,7401,7422,7227,7315,7457,7555
2020,US,ENICP,4824,4794,5039,4080,5075,5207,5312,5384,5392,5479
2020,US,ENTCK,3.561,3.56,3.56,3.559,3.558,3.558,3.556,3.553,3.555,3.557
2020,US,ENTCP,306984,306711,314658,320095,332064,341817,344882,343342,346468,301925
2020,US,EQICB,963463,967432,1010788,1057816,1091028,1150498,1259906,1502628,1560923,1749770
2020,US,EQICP,346196,347622,363201,380099,392033,413402,452715,539931,560878,628735
2020,US,EQTCB,963463,967432,1010788,1057816,1091028,1150498,1259906,1502628,1560923,1749770
2020,US,EQTCP,346196,347622,363201,380099,392033,413402,452715,539931,560878,628735
2020,US,ESACB,26177,24976,26017,26469,26056,25579,25667,26152,26041,22341
2020,US,ESACP,7672,7320,7625,7758,7637,7497,7523,7665,7632,6548
2020,US,ESCCB,4531332,4528069,4562113,4613564,4642884,4664857,4616053,4714548,4643311,4392744
2020,US,ESCCP,1328057,1327101,1337079,1352158,1360752,1367191,1352888,1381755,1360877,1287440
2020,US,ESICB,3382369,3363256,3362021,3403730,3365964,3332552,3358425,3414295,3420028,3272388
2020,US,ESICP,991316,985714,985352,997576,986508,976715,984298,1000673,1002353,959082
2020,US,ESRCB,4854597,4689844,4759099,4801395,4790777,4814530,4703946,5012546,4914266,4997232
2020,US,ESRCP,1422801,1374515,1394812,1407208,1404096,1411058,1378648,1469093,1440289,1464605
2020,US,ESRPP,4566,4379,4413,4420,4378,4368,4240,4495,4387,4418
2020,US,ESTCB,12794475,12606145,12709249,12845157,12825682,12837519,12704091,13167540,13003645,12684705
2020,US,ESTCP,3749846,3694650,3724868,3764700,3758992,3762462,3723356,3859185,3811150,3717674
2020,US,ESTPP,12035,11771,11785,11824,11720,11646,11452,11808,11608,11215
2020,US,ESTXB,12794475,12606145,12709249,12845157,12825682,12837519,12704091,13167540,13003645,12684705
2020,US,ESTXP,3749846,3694650,3724868,3764700,3758992,3762462,3723356,3859185,3811150,3717674
2020,US,EYICB,5267,4572,755,950,816,646,658,219,309,551
2020,US,EYICP,2162,1877,310,390,335,265,270,90,127,226
2020,US,EYTCB,5267,4572,755,950,816,646,658,219,309,551
2020,US,EYTCP,2162,1877,310,390,335,265,270,90,127,226
