Data_Status,State,MSN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020,US,SGICP,247829,246803,256216,252824,249171,255241,251761,256427,243912,223443
2020,US,SNICB,22614,14715,100016,106120,99266,93577,100337,92050,95619,86550
2020,US,SNICP,4309,2804,19058,20221,18915,17831,19119,17540,18220,16492
2020,US,SOCCB,22097,35990,41581,52459,56899,61735,75600,93985,103195,117955
2020,US,SOCCP,2274,3782,4358,5516,6106,6687,8206,10324,11588,13445
2020,US,SOEGB,16782,39625,83240,164562,227901,327712,485742,575854,634613,776511
2020,US,SOEGP,1727,4164,8724,17304,24456,35497,52724,63253,71265,88511
2020,US,SOICB,4778,7792,8751,10992,13722,19269,22168,24429,27843,31456
2020,US,SOICP,492,819,917,1156,1472,2087,2406,2683,3127,3586
2020,US,SOR7P,1358,2058,3217,4947,6999,10595,13942,17105,20914,25179
2020,US,SORCB,70795,78841,91426,109407,128213,161502,193414,220837,251409,286315
2020,US,SOTCB,114452,162248,224998,337421,426734,570218,776925,915105,1017059,1212237
2020,US,SOTGP,5851,10823,17217,28924,39032,54866,77277,93365,106894,130721
2020,US,SOTXB,97670,122623,141758,172858,198833,242506,291183,339252,382447,435726
2020,US,TEACB,26597288,26125275,26613512,26873295,27244957,27792276,28022196,28470753,28589691,24349079
2020,US,TEAPB,85.4,83.2,84.2,84.4,84.9,86,86.2,87.1,87.1,73.5
2020,US,TECCB,17940816,17365126,17879132,18207708,18110389,17990822,17864726,18416647,17984045,16732585
2020,US,TECPB,57.6,55.3,56.6,57.2,56.5,55.7,54.9,56.3,54.8,50.5
2020,US,TEEIB,39310609,38151544,38374061,38647765,37901687,37743243,37256169,38182669,37022412,35611606
2020,US,TEICB,30984985,31047752,31595381,31780391,31436507,31410344,31879810,32818732,32741719,31260077
2020,US,TEIPB,99.4,98.9,100,99.8,98,97.2,98.1,100.4,99.7,94.3
2020,US,TERCB,21345572,19828618,21018102,21418020,20586481,20157650,19861744,21486929,21042063,20520596
2020,US,TERPB,68.5,63.2,66.5,67.3,64.2,62.4,61.1,65.7,64.1,61.9
2020,US,TETCB,96868658,94366760,97106124,98279417,97378350,97351106,97628486,101193066,100357531,92862342
2020,US,TETGR,6.1,5.81,5.87,5.8,5.6,5.51,5.4,5.44,5.27,5.05
2020,US,TETPB,310.9,300.6,307.2,308.7,303.6,301.3,300.3,309.6,305.7,280.1
2020,US,TETXB,96868661,94366772,97106127,98279414,97378334,97351092,97628476,101193061,100357519,92862337
2020,US,TNACB,26544663,26076412,26562802,26821836,27195337,27743777,27973760,28421879,28542404,24309543
2020,US,TNCCB,8595674,8252517,8722256,9001985,9082224,8985361,8989242,9493136,9444527,8817881
2020,US,TNICB,23889003,24123484,24710700,24848483,24768266,24867744,25298551,26258496,26339151,25269665
2020,US,TNRCB,11323186,10368960,11445557,11804502,11256503,10848486,10814844,12004421,12012670,11538347
2020,US,TNTXB,70352527,68821373,71441315,72476806,72302330,72445368,73076397,76177932,76338752,69935436
2020,US,TPOPP,311583,313878,316060,318386,320739,323072,325122,326838,328330,331501
2020,US,UOICB,56124,60085,16712,-80589,-17790,8580,76366,30861,135915,190530
2020,US,UOICP,9635,10315,2869,-13835,-3054,1473,13110,5298,23333,32709
2020,US,WDCCB,69159,60683,70164,76289,79288,83740,83730,84073,84299,82950
2020,US,WDEIB,182159,190191,207426,251253,243857,224407,229324,221063,200524,185374
2020,US,WDICB,1437638,1462245,1489011,1495000,1475888,1473776,1442324,1432000,1406983,1355558
2020,US,WDRCB,524264,438095,571655,578535,512736,444654,429592,524877,545530,440779
2020,US,WDTCB,2213219,2151214,2338256,2401077,2311769,2226577,2184970,2262013,2237336,2064661
2020,US,WSCCB,42543,45247,47077,46963,47029,48131,47506,46924,39040,37854
2020,US,WSEIB,254568,262453,262185,278890,281022,280662,280217,275021,247613,242199
2020,US,WSICB,164682,158904,187174,190025,190320,174425,167536,165402,155793,159681
2020,US,WSTCB,461793,466604,496436,515877,518371,503219,495260,487347,442447,439734
2020,US,WWCCB,111702,105930,117241,123252,126317,131871,131236,130997,123339,120804
2020,US,WWEIB,436727,452644,469611,530143,524879,505069,509541,496085,448137,427573
2020,US,WWICB,1602320,1621149,1676185,1685025,1666208,1648201,1609860,1597402,1562776,1515239
2020,US,WWTCB,2675013,2617818,2834691,2916954,2830140,2729795,2680230,2749361,2679783,2504395
2020,US,WWTXB,2238286,2165174,2365080,2386812,2305261,2224726,2170689,2253276,2231646,2076821
2020,US,WXICB,15077,15293,16489,14784,12359,12851,10160,12414,10426,9208
2020,US,WXICP,2723,2762,2978,2670,2232,2321,1835,2242,1883,1663
2020,US,WYCCB,494,513,580,1013,1103,1214,1329,1585,1592,1473
2020,US,WYCCP,51,54,61,107,118,131,144,174,179,168
2020,US,WYEGB,1167094,1339365,1600424,1726026,1775705,2093728,2340784,2479897,2632354,2957843
2020,US,WYEGP,120121,140749,167742,181496,190547,226790,254074,272396,295604,337153
2020,US,WYICB,47,182,356,503,497,653,778,882,888,5415
2020,US,WYICP,5,19,37,53,53,71,84,97,100,617
2020,US,WYTCB,1167636,1340059,1601359,1727542,1777306,2095595,2342891,2482364,2634834,2964731
2020,US,WYTCP,120177,140822,167840,181655,190719,226993,254303,272667,295882,337938
2020,US,WYTXB,541,695,935,1516,1601,1867,2107,2467,2480,6888
2020,US,WYTXP,56,73,98,159,172,202,229,271,278,785
2020,US,ZWCDP,1469,1493,1304,1295,1484,1553,1422,1579,1495,1518
2020,US,ZWHDP,4314,3773,4472,4560,4096,3889,3840,4293,4320,3916
