MSN,YYYYMM,Value,Description,Unit
SOTCBUS,201810,72.291,Solar Energy Consumption,Trillion Btu
SOTCBUS,201811,55.62,Solar Energy Consumption,Trillion Btu
SOTCBUS,201812,48.381,Solar Energy Consumption,Trillion Btu
SOTCBUS,201901,52.378,Solar Energy Consumption,Trillion Btu
SOTCBUS,201902,56.33,Solar Energy Consumption,Trillion Btu
SOTCBUS,201903,83.911,Solar Energy Consumption,Trillion Btu
SOTCBUS,201904,95.075,Solar Energy Consumption,Trillion Btu
SOTCBUS,201905,101.994,Solar Energy Consumption,Trillion Btu
SOTCBUS,201906,109.795,Solar Energy Consumption,Trillion Btu
SOTCBUS,201907,112.915,Solar Energy Consumption,Trillion Btu
SOTCBUS,201908,109.032,Solar Energy Consumption,Trillion Btu
SOTCBUS,201909,95.222,Solar Energy Consumption,Trillion Btu
SOTCBUS,201910,84.766,Solar Energy Consumption,Trillion Btu
SOTCBUS,201911,62.85,Solar Energy Consumption,Trillion Btu
SOTCBUS,201912,52.791,Solar Energy Consumption,Trillion Btu
SOTCBUS,202001,63.049,Solar Energy Consumption,Trillion Btu
SOTCBUS,202002,75.932,Solar Energy Consumption,Trillion Btu
SOTCBUS,202003,91.137,Solar Energy Consumption,Trillion Btu
SOTCBUS,202004,108.976,Solar Energy Consumption,Trillion Btu
SOTCBUS,202005,128.85,Solar Energy Consumption,Trillion Btu
SOTCBUS,202006,128.873,Solar Energy Consumption,Trillion Btu
SOTCBUS,202007,138.668,Solar Energy Consumption,Trillion Btu
SOTCBUS,202008,125.173,Solar Energy Consumption,Trillion Btu
SOTCBUS,202009,106.348,Solar Energy Consumption,Trillion Btu
SOTCBUS,202010,96.414,Solar Energy Consumption,Trillion Btu
SOTCBUS,202011,78.394,Solar Energy Consumption,Trillion Btu
SOTCBUS,202012,70.424,Solar Energy Consumption,Trillion Btu
SOTCBUS,202101,77.93,Solar Energy Consumption,Trillion Btu
SOTCBUS,202102,85.823,Solar Energy Consumption,Trillion Btu
SOTCBUS,202103,122.643,Solar Energy Consumption,Trillion Btu
SOTCBUS,202104,141.404,Solar Energy Consumption,Trillion Btu
SOTCBUS,202105,158.783,Solar Energy Consumption,Trillion Btu
SOTCBUS,202106,155.506,Solar Energy Consumption,Trillion Btu
SOTCBUS,202107,157.132,Solar Energy Consumption,Trillion Btu
SOTCBUS,202108,153.57,Solar Energy Consumption,Trillion Btu
SOTCBUS,202109,141.82,Solar Energy Consumption,Trillion Btu
SOTCBUS,202110,120.01,Solar Energy Consumption,Trillion Btu
SOTCBUS,202111,102.039,Solar Energy Consumption,Trillion Btu
SOTCBUS,202112,84.571,Solar Energy Consumption,Trillion Btu
SOTCBUS,202201,102.825,Solar Energy Consumption,Trillion Btu
SOTCBUS,202202,116.61,Solar Energy Consumption,Trillion Btu
SOTCBUS,202203,153.842,Solar Energy Consumption,Trillion Btu
SOTCBUS,202204,172.819,Solar Energy Consumption,Trillion Btu
SOTCBUS,202205,193.046,Solar Energy Consumption,Trillion Btu
SOTCBUS,202206,199.707,Solar Energy Consumption,Trillion Btu
