Entity,Code,Year,Electricity from solar (TWh)
United States,USA,2011,4.738903999
United States,USA,2012,9.037014008
United States,USA,2013,16.03969574
United States,USA,2014,29.21616173
United States,USA,2015,39.4262619
United States,USA,2016,55.42020035
United States,USA,2017,78.05757904
United States,USA,2018,94.30808258
United States,USA,2019,107.9737396
United States,USA,2020,132.0414124
United States,USA,2021,165.3565674
