"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United States of America","Andrew Solar",5,35.1608,-77.1099,"Solar"
"United States of America","Andromeda Community Solar",4.5,44.9019,-94.0316,"Solar"
"United States of America","Angel Solar",5,35.6511,-81.2086,"Solar"
"United States of America","Angier Farm",5,35.5164,-78.75,"Solar"
"United States of America","Annandale Solar",6,45.247,-94.1069,"Solar"
"United States of America","Antares-GRE 314 East Lyme LLC",4,41.4169,-72.2344,"Solar"
"United States of America","Antelope Big Sky Ranch",20,34.6948,-118.2877,"Solar"
"United States of America","Antelope DSR 1",50,34.6556,-118.2807,"Solar"
"United States of America","Antelope DSR 2",5,34.6869,-118.3117,"Solar"
"United States of America","Anthony Wayne Solar #1",1.7,41.6272,-83.5747,"Solar"
"United States of America","Antlia Community Solar",2,43.9065,-96.1382,"Solar"
"United States of America","Apache Solar 1",90,32.0681,-109.8904,"Solar"
"United States of America","Apex Solar PV Power Project",20,36.39,-114.97,"Solar"
"United States of America","Apple Campus 2 PV",14.4,37.33,-122.01,"Solar"
"United States of America","Apple Data Center - PV2",20,35.7389,-81.2078,"Solar"
"United States of America","Apple Data Center PV",21,35.5881,-81.252,"Solar"
"United States of America","Apple Data Center PV3",17.5,35.715,-81.15,"Solar"
"United States of America","Apple One",5,35.6294,-81.1569,"Solar"
"United States of America","Aqua Ingrams Mill",1,39.9647,-75.6578,"Solar"
"United States of America","Arapahoe 3 Community Solar Array",1.8,39.6384,-104.6742,"Solar"
"United States of America","Ararat Rock Solar  LLC",3.5,36.4611,-80.6006,"Solar"
"United States of America","Arba Solar  LLC",2,35.3964,-77.7036,"Solar"
"United States of America","Archdiocese of Baltimore J",2,39.445,-76.217,"Solar"
"United States of America","Archdiocese of Baltimore L",2,39.445,-76.217,"Solar"
"United States of America","Aries Community Solar",4,44.0449,-92.9886,"Solar"
"United States of America","Arizona Western College PV",4.7,32.6878,-114.4961,"Solar"
"United States of America","Arlington Valley Solar Energy II",129,33.305,-112.8339,"Solar"
"United States of America","Arndt Farm",5,35.7792,-81.1756,"Solar"
"United States of America","Arrache 4006",2,34.655,-118.0511,"Solar"
"United States of America","Arrache 4013",1.5,34.6506,-118.0519,"Solar"
"United States of America","Arrache 8083",4,34.6478,-118.0611,"Solar"
"United States of America","Arzon Solar UASTP Solar Power Station",1.9,32.1081,-110.8247,"Solar"
"United States of America","Ashby Duffy CSG Solar Farm",1.8,42.68,-71.83,"Solar"
"United States of America","Ashley Solar Farm",4,36.1261,-80.7989,"Solar"
"United States of America","Aspen Solar  LLC",5,34.7912,-78.0121,"Solar"
"United States of America","Aspiration G",9,36.5522,-120.3525,"Solar"
"United States of America","Atkinson Farm Solar",5,34.897,-77.7952,"Solar"
"United States of America","Atlantic City Convention Center",2,39.3639,-74.4408,"Solar"
"United States of America","Atlantic Coast Freezers Solar Facility",2.2,39.5199,-75.029,"Solar"
"United States of America","Atwater Solar",4,45.1409,-94.7697,"Solar"
"United States of America","Atwell Island",20.2,35.895,-119.5108,"Solar"
"United States of America","Atwell Island West Solar",20,35.815,-119.4597,"Solar"
"United States of America","Audrey Solar",3,35.3281,-81.6219,"Solar"
"United States of America","Augustus Farm  LLC",4.9,35.5997,-77.6391,"Solar"
"United States of America","Auten Road Farm  LLC",5,35.305,-81.1373,"Solar"
"United States of America","Avalon Solar",29,32.0014,-110.9606,"Solar"
"United States of America","Avalon Solar II",16,32.0009,-110.9584,"Solar"
"United States of America","Avenal Park",6,35.9897,-120.11,"Solar"
"United States of America","Avra Valley Solar",26.5,32.3717,-111.2828,"Solar"
"United States of America","Axio Green LLC",2,42.5761,-72.61,"Solar"
"United States of America","Axium Modesto Solar",25,37.7342,-120.9956,"Solar"
"United States of America","Ayers Village Solar",2,42.7919,-71.1775,"Solar"
"United States of America","Ayrshire",19.4,35.2831,-81.6153,"Solar"
"United States of America","Azalea Solar  LLC",7.7,32.9808,-82.5917,"Solar"
"United States of America","B.R. Corcoran CSG",5,45.0695,-93.6432,"Solar"
"United States of America","B.R. Sartell CSG",3,45.665,-94.2254,"Solar"
"United States of America","B.R. Sauk Rapids CSG",5,45.6236,-94.0782,"Solar"
"United States of America","BBB Corporate Headquarters",1,40.6972,-74.305,"Solar"
"United States of America","BC Solar",8,42.175,-120.3598,"Solar"
"United States of America","BG Stewart Solar Farm  LLC",5,34.9705,-80.3896,"Solar"
"United States of America","BJ's Wholesale Club  Inc- Uxbridge",1,42.0197,-71.6041,"Solar"
"United States of America","BJ's Wholesale Club Inc Dist Center",1.4,40.0985,-74.8259,"Solar"
"United States of America","BNB Camden Solar",3.7,39.939,-75.108,"Solar"
"United States of America","BPU Solar Farm",1,39.1664,-94.6969,"Solar"
"United States of America","BRE",5,36.3725,-78.5985,"Solar"
"United States of America","BWC Swan Pond River",1.6,41.7956,-71.2266,"Solar"
"United States of America","BWC Wading River One  Two  Three CSG",3,42.0853,-71.5267,"Solar"
"United States of America","Babcock Solar Energy Center",74.5,26.8616,-81.751,"Solar"
"United States of America","Badger 1",14.8,33.498,-112.8135,"Solar"
"United States of America","Bailey Farm LLC",5,35.7875,-78.1397,"Solar"
"United States of America","Bakatsias Solar",5,36.0724,-79.3475,"Solar"
"United States of America","Baker PV 1",5,36.2703,-77.0603,"Solar"
"United States of America","Baker Point",9,39.5703,-77.3634,"Solar"
"United States of America","Bakersfield 111",1.4,35.3176,-118.9899,"Solar"
"United States of America","Bakersfield College Solar 01",1.1,35.4118,-118.9686,"Solar"
"United States of America","Bakersfield Industrial PV 1",1,35.33,-118.9931,"Solar"
"United States of America","Bakersfield PV 1",5.3,35.325,-118.9815,"Solar"
"United States of America","Baldock Solar Highway",1.7,45.2694,-122.7717,"Solar"
"United States of America","Balsam",5,35.4589,-79.1739,"Solar"
"United States of America","Baltimore City B",2,39.436,-76.22,"Solar"
"United States of America","Baltimore City D",2,39.436,-76.22,"Solar"
"United States of America","Baltimore City F",2,39.436,-76.22,"Solar"
"United States of America","Baltimore City G",2,39.436,-76.22,"Solar"
"United States of America","Bandera Electric Coop PV",1.5,29.681,-99.7622,"Solar"
"United States of America","Barilla Solar",30.2,30.96,-103.35,"Solar"
"United States of America","Barker Solar  LLC",5,34.6356,-78.9287,"Solar"
"United States of America","Barnhill Road Solar  LLC",3.1,36.2692,-76.2995,"Solar"
"United States of America","Barnstable Landfill",4,41.6597,-70.3956,"Solar"
"United States of America","Barnwell Solar",5.4,33.237,-81.351,"Solar"
"United States of America","Barre II Solar Project",1.5,42.362,-72.109,"Solar"
"United States of America","Barrett Farm Solar - Phase I",1.7,41.9463,-71.8838,"Solar"
"United States of America","Barrett PV",11.9,42.1622,-71.8645,"Solar"
"United States of America","Barton Solar Farm",1.9,44.7254,-72.184,"Solar"
"United States of America","Bashaw Solar CSG 1  LLC",2,42.7893,-70.88,"Solar"
"United States of America","Battleboro Farm",5.2,36.0586,-77.7608,"Solar"
"United States of America","Battleground",3.5,35.22,-81.33,"Solar"
"United States of America","Bayboro Solar Farm",5,35.1483,-76.8102,"Solar"
"United States of America","Bayshore Solar A  LLC",20,34.6678,-118.2981,"Solar"
"United States of America","Bayshore Solar B  LLC",20,34.6783,-118.3026,"Solar"
"United States of America","Bayshore Solar C  LLC",20,34.6813,-118.3141,"Solar"
"United States of America","Beacon Solar Plant Site 2",45,35.2658,-117.9992,"Solar"
"United States of America","Beacon Solar Plant Site 5",36,35.2489,-118.0344,"Solar"
"United States of America","Bear Creek Solar",2,35.5403,-79.4491,"Solar"
"United States of America","Bear Creek Solar",1.5,38.1364,-121.1489,"Solar"
"United States of America","BearPond Solar Center LLC",4.8,36.2761,-78.3772,"Solar"
"United States of America","Bearford Farm Solar Project",5,34.61,-77.9242,"Solar"
"United States of America","Beaufort Solar  LLC",15,35.456,-77.134,"Solar"
"United States of America","Beaver Run",7.4,41.153,-74.6381,"Solar"
"United States of America","Beaver Solar LLC",1.3,40.6914,-80.3239,"Solar"
"United States of America","Bed Bath & Beyond DC Port Reading NJ",1.8,40.5683,-74.2425,"Solar"
"United States of America","Bedford Solar",3,37.335,-79.481,"Solar"
"United States of America","Beetle Solar",4,35.1785,-81.665,"Solar"
"United States of America","Belchertown",1,42.2595,-72.4004,"Solar"
"United States of America","Bellevue Solar Project",1.6,45.1122,-123.2347,"Solar"
"United States of America","Bellingham PV",3,42.075,-71.7031,"Solar"
"United States of America","Belmont",3.8,39.72,-86.1931,"Solar"
"United States of America","Belwood Farm",4,35.47,-81.5083,"Solar"
"United States of America","Benjamin Moore & Co. Solar",1.4,40.8256,-74.7147,"Solar"
"United States of America","Benthall Bridge PV 1",5,36.42,-77.1003,"Solar"
"United States of America","BentonSun CSG  LLC",5,44.7662,-93.8579,"Solar"
"United States of America","Beringer",1.2,38.5108,-122.4797,"Solar"
"United States of America","Berkley East Solar LLC",3,41.8239,-71.0414,"Solar"
"United States of America","Berkshire 1",1.8,42.1144,-73.4053,"Solar"
"United States of America","Bernards Solar",3.7,40.7027,-74.5816,"Solar"
"United States of America","Bernhardt Furniture Solar Farm",1.1,35.8499,-81.5409,"Solar"
"United States of America","Berry Plastics Solar",10.1,40.6983,-75.1519,"Solar"
"United States of America","Beryl Solar Plant",3,37.6392,-113.6458,"Solar"
"United States of America","Bethel Price Solar  LLC",5,35.7947,-77.3811,"Solar"
"United States of America","Bethel Solar",5,35.75,-77.385,"Solar"
"United States of America","Bethlehem - East",1.7,42.539,-73.8243,"Solar"
"United States of America","Bethlehem - West",1,42.539,-73.8243,"Solar"
"United States of America","Beulaville",2,34.9,-77.78,"Solar"
"United States of America","Beverly",2,42.59,-70.9119,"Solar"
"United States of America","Big Lake Holdco Solar CSG",5,45.3346,-93.7756,"Solar"
"United States of America","Biltmore Solar Fields",1.5,35.5612,-82.5884,"Solar"
"United States of America","Bird Machine Solar Farm",4.6,42.1096,-71.2667,"Solar"
"United States of America","Biscoe Solar LLC",5,35.3839,-79.7703,"Solar"
"United States of America","Bison Solar LLC",30,40.8638,-105.0111,"Solar"
"United States of America","Bizzell Church Solar 1  LLC",5.2,35.5494,-78.1799,"Solar"
"United States of America","Bizzell Church Solar 2",5,35.5444,-78.1772,"Solar"
"United States of America","Black Cap Solar Plant",2,42.175,-120.3626,"Solar"
"United States of America","Black Eagle Solar  LLC",3,47.5475,-111.254,"Solar"
"United States of America","Black Mountain Solar LLC",9,35.0227,-114.1627,"Solar"
"United States of America","BlackRock-Matrix",2.5,40.3622,-74.4797,"Solar"
"United States of America","Bladen Solar",50,34.8235,-78.6235,"Solar"
"United States of America","Bladenboro Farm",5,34.535,-78.8131,"Solar"
